engine_rpm_mean,engine_coolant_temp_c,oil_pressure_psi,hard_braking_events_per_100km,battery_voltage_v,odometer_reading_km_k,component_failure_risk
2772.864,94.592,45.961,0.0,15.2,124.569,1
2360.128,97.956,32.232,4.784,12.886,86.769,0
2870.998,95.112,37.612,2.842,13.595,43.945,1
3439.969,109.904,48.051,1.817,13.886,64.188,1
2297.8,78.668,48.257,4.043,12.936,100.428,0
2297.811,82.522,58.044,5.244,12.22,166.831,0
3476.488,81.183,41.013,0.0,13.611,63.219,1
2948.833,103.623,45.677,3.282,13.511,121.215,0
2144.842,104.606,36.747,0.0,13.45,70.237,0
2802.664,98.317,44.184,3.398,14.0,89.971,1
2148.778,108.569,47.274,2.73,15.087,153.193,1
2147.276,75.507,40.82,3.644,13.527,119.393,0
2607.275,115.341,20.355,1.601,13.953,29.142,0
1206.368,113.325,45.978,0.0,14.454,59.239,1
1328.803,102.299,46.375,1.689,14.299,141.53,0
2084.513,116.945,33.838,3.232,13.247,91.385,0
1791.66,68.807,26.587,4.328,13.887,33.302,1
2654.261,84.658,59.711,0.391,14.293,48.147,1
1859.784,81.706,47.897,4.349,12.784,116.657,0
1532.003,102.101,39.251,1.334,14.937,129.748,0
3402.672,77.298,28.356,3.152,15.088,85.803,1
2303.245,102.605,32.138,1.582,13.149,196.389,0
2493.893,111.188,57.631,2.828,13.974,122.087,0
1523.914,101.733,43.652,4.105,14.378,74.043,0
2096.151,95.973,35.393,0.291,13.309,48.293,1
2522.1,78.17,48.116,1.276,14.233,41.13,1
1701.854,80.144,32.227,2.833,13.947,100.094,0
2694.204,109.495,60.01,6.823,12.479,63.005,0
2059.585,102.911,58.234,0.946,14.213,160.318,0
2260.399,91.454,36.401,6.172,12.81,150.984,0
2058.891,86.149,34.456,6.108,14.645,113.488,0
3653.981,65.0,10.582,2.325,13.196,31.945,1
2441.227,77.008,24.221,1.963,13.655,54.75,1
1762.488,118.76,25.926,1.254,15.035,141.505,1
2984.654,74.074,43.622,2.377,14.247,59.662,1
1656.452,94.653,38.085,0.0,12.828,135.496,0
2585.761,106.104,25.856,2.363,12.887,106.357,0
1176.214,74.431,38.626,5.194,13.261,87.327,0
1586.679,94.586,48.064,1.4,14.155,53.373,1
2577.96,105.131,48.334,2.067,14.122,80.759,1
2930.003,92.175,19.204,0.0,13.041,93.534,0
2561.389,125.0,40.461,3.173,12.75,131.464,0
2374.829,68.64,25.4,2.976,14.053,45.142,1
2254.283,106.822,52.821,2.615,13.636,73.173,0
1488.961,89.581,51.41,2.11,15.2,87.017,0
1982.101,102.807,31.224,1.973,13.833,114.821,0
2150.585,98.178,32.807,3.403,15.2,44.119,1
3137.129,81.736,36.465,2.448,12.747,25.754,1
2673.352,95.206,14.966,3.067,12.384,115.328,0
1304.024,65.989,46.032,2.887,12.792,16.692,1
2660.655,100.445,38.726,4.522,14.87,142.824,0
2199.697,96.174,53.642,3.719,15.2,77.983,1
2010.001,100.941,28.819,2.847,13.096,15.361,0
2847.59,106.814,34.571,5.233,13.385,63.381,0
3120.15,97.147,23.922,3.256,12.748,102.061,0
3055.332,94.073,29.949,4.849,12.17,61.028,0
1904.509,79.665,27.816,3.592,14.447,85.901,0
2249.012,82.029,53.952,0.0,14.001,118.304,1
2665.321,108.614,33.621,4.849,13.809,75.901,0
3084.104,112.109,43.49,2.743,12.54,42.832,0
2138.537,88.666,37.431,2.406,15.2,71.546,1
2329.322,92.644,26.766,3.006,13.347,148.668,0
1730.882,79.335,39.98,1.879,14.28,160.828,0
1672.466,108.419,49.189,2.909,12.491,5.0,1
2978.142,101.316,27.507,1.435,13.629,134.096,0
3331.556,119.177,51.709,4.794,14.062,96.257,0
2403.193,79.703,31.803,2.296,14.094,126.579,0
3102.296,86.708,36.204,1.811,13.939,60.228,1
2685.063,95.24,48.368,0.835,14.245,5.428,1
2030.672,101.051,34.039,2.984,12.783,111.302,0
2684.907,88.981,42.451,2.837,13.978,42.656,1
3449.724,79.779,38.224,3.199,13.902,22.527,1
2426.713,104.34,43.552,0.651,14.009,25.672,1
3467.018,102.096,13.431,0.0,13.865,112.041,1
750.0,79.172,20.044,3.626,12.654,91.275,0
2984.237,110.976,49.392,5.172,12.614,120.211,0
2506.581,108.383,54.446,0.653,11.807,115.108,0
2255.645,93.88,31.074,5.361,14.536,66.058,0
2509.645,93.114,39.072,3.011,14.545,81.829,1
1158.08,99.757,45.537,2.487,14.559,61.985,1
2307.213,79.936,50.319,1.784,14.076,75.535,1
2682.123,92.42,17.668,0.008,11.88,41.474,0
3410.631,65.0,31.368,4.278,12.876,102.572,0
2113.124,104.27,38.009,1.104,13.953,133.38,0
1924.479,70.139,50.438,1.096,13.922,48.252,1
2123.858,113.048,71.981,4.285,13.6,142.657,0
3045.011,87.378,39.264,0.0,14.132,90.108,1
2663.688,89.037,25.116,0.0,13.81,95.849,1
2105.656,83.212,46.827,2.467,13.909,8.526,1
2783.624,87.967,57.852,3.028,13.225,5.0,1
2513.1,111.859,43.296,3.373,14.684,91.485,1
3079.619,65.0,31.12,1.957,13.412,120.538,0
1993.665,109.878,53.496,7.055,12.602,54.788,0
2237.02,96.732,49.963,2.09,13.106,160.154,0
2195.13,75.102,29.687,2.085,13.486,118.072,0
1498.715,76.946,46.577,1.065,14.695,44.125,1
2642.478,115.47,53.967,2.723,13.762,86.388,1
2619.686,78.763,56.183,3.607,13.632,196.462,0
2453.324,75.853,41.203,4.666,12.676,29.085,0
2297.518,107.922,37.703,0.0,14.507,108.772,1
1530.009,96.74,56.727,2.057,13.213,70.476,1
2176.581,78.869,27.478,3.304,13.71,116.81,0
2227.236,95.033,47.263,3.557,15.132,142.027,1
1928.52,77.639,25.56,2.512,14.258,67.619,0
2345.164,107.411,54.785,3.476,12.335,135.351,0
2712.633,106.859,38.903,1.044,12.207,184.954,0
3676.021,99.448,57.223,5.304,13.742,87.982,0
2563.476,97.063,47.897,4.287,12.709,120.32,0
2617.408,116.657,27.321,0.079,14.384,58.43,1
2401.61,91.996,59.096,0.565,13.838,85.867,1
1202.799,75.454,60.615,0.616,13.949,77.05,1
2432.766,98.293,52.587,3.72,13.164,120.862,0
2489.15,121.205,32.861,0.187,15.2,139.21,0
4051.107,77.793,38.328,1.904,15.2,80.066,1
2324.965,86.94,43.745,3.318,13.549,154.013,0
2646.006,97.83,33.555,2.381,14.118,153.852,0
2427.437,91.245,62.308,2.966,13.888,123.108,1
1690.359,78.248,43.732,0.582,13.566,61.779,1
3192.835,107.706,10.0,3.571,13.051,57.468,0
2938.756,124.481,46.072,1.396,12.824,48.443,1
2964.171,94.746,37.822,1.916,12.778,127.712,0
1858.898,79.343,41.101,2.928,14.165,30.47,1
3361.816,70.315,37.577,2.686,13.332,115.458,0
1538.797,95.612,51.685,2.543,11.48,36.35,0
2831.457,107.454,55.436,1.149,14.2,122.06,1
3873.796,98.652,45.397,1.961,13.766,85.775,0
1806.151,91.966,37.928,2.504,15.012,145.014,1
2081.906,83.75,41.504,0.025,14.136,136.365,0
